,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1972.0,12.0,28.0,0.0,62.0
1,1968.0,2.0,32.0,1.0,64.0
2,1968.0,0.0,32.0,2.0,64.0
3,1968.0,0.0,32.0,3.0,64.0
4,1968.0,0.0,32.0,4.0,64.0
5,1968.0,0.0,32.0,5.0,64.0
6,1968.0,0.0,32.0,6.0,64.0
7,1968.0,0.0,32.0,7.0,64.0
8,1968.0,0.0,32.0,8.0,64.0
9,1968.0,0.0,32.0,9.0,64.0
10,1968.0,0.0,32.0,10.0,64.0
11,1968.0,0.0,32.0,11.0,64.0
12,1968.0,0.0,32.0,12.0,64.0
13,1968.0,0.0,32.0,13.0,64.0
14,1968.0,0.0,32.0,14.0,64.0
15,1968.0,0.0,32.0,15.0,64.0
16,1968.0,0.0,32.0,16.0,64.0
17,1968.0,0.0,32.0,17.0,64.0
18,1968.0,0.0,32.0,18.0,64.0
19,1968.0,0.0,32.0,19.0,64.0
20,1968.0,0.0,32.0,20.0,64.0
